tKr,tKr1,yKr,yKr1
217.14,217.14,1.0497,104.99
218.15,218.15,1.052,105.22
219.15,219.15,1.0542,105.44
220.15,220.15,1.0563,105.65
221.15,221.15,1.0584,105.86
222.15,222.15,1.0604,106.06
223.15,223.15,1.0623,106.25
224.15,224.15,1.0643,106.44
225.15,225.15,1.0661,106.63
226.15,226.15,1.0679,106.81
227.15,227.15,1.0696,106.98
228.15,228.15,1.0713,107.15
229.15,229.15,1.073,107.32
230.15,230.15,1.0745,107.47
231.15,231.15,1.0761,107.63
232.15,232.15,1.0776,107.77
233.16,233.16,1.079,107.92
234.16,234.16,1.0804,108.06
235.16,235.16,1.0817,108.19
236.16,236.16,1.083,108.32
237.16,237.16,1.0842,108.44
238.16,238.16,1.0854,108.56
239.16,239.16,1.0866,108.68
240.16,240.16,1.0877,108.79
241.16,241.16,1.0887,108.89
242.16,242.16,1.0897,108.99
243.16,243.16,1.0907,109.09
244.16,244.16,1.0916,109.18
245.16,245.16,1.0925,109.27
246.16,246.16,1.0933,109.35
247.16,247.16,1.0941,109.43
248.17,248.17,1.0949,109.51
249.17,249.17,1.0956,109.58
250.17,250.17,1.0963,109.65
251.17,251.17,1.0969,109.71
252.17,252.17,1.0975,109.77
253.17,253.17,1.0981,109.82
254.17,254.17,1.0986,109.88
255.17,255.17,1.0991,109.93
256.17,256.17,1.0995,109.97
257.17,257.17,1.0999,110.01
258.17,258.17,1.1003,110.05
259.17,259.17,1.1006,110.08
260.17,260.17,1.101,110.12
261.17,261.17,1.1012,110.14
262.17,262.17,1.1015,110.17
263.18,263.18,1.1017,110.19
264.18,264.18,1.1019,110.21
265.18,265.18,1.102,110.22
266.18,266.18,1.1022,110.23
267.18,267.18,1.1022,110.24
268.18,268.18,1.1023,110.25
269.18,269.18,1.1023,110.25
270.18,270.18,1.1023,110.25
271.18,271.18,1.1023,110.25
272.18,272.18,1.1023,110.25
273.18,273.18,1.1022,110.24
274.18,274.18,1.1021,110.23
275.18,275.18,1.102,110.22
276.18,276.18,1.1018,110.2
277.18,277.18,1.1017,110.18
278.19,278.19,1.1015,110.16
279.19,279.19,1.1012,110.14
280.19,280.19,1.101,110.12
281.19,281.19,1.1007,110.09
282.19,282.19,1.1004,110.06
283.19,283.19,1.1001,110.03
284.19,284.19,1.0998,110
285.19,285.19,1.0994,109.96
286.19,286.19,1.0991,109.93
287.19,287.19,1.0987,109.89
288.19,288.19,1.0983,109.85
289.19,289.19,1.0979,109.81
290.19,290.19,1.0974,109.76
291.19,291.19,1.097,109.72
292.19,292.19,1.0965,109.67
293.2,293.2,1.096,109.62
294.2,294.2,1.0955,109.57
295.2,295.2,1.095,109.51
296.2,296.2,1.0944,109.46
297.2,297.2,1.0939,109.41
298.2,298.2,1.0933,109.35
299.2,299.2,1.0927,109.29
300.2,300.2,1.0921,109.23
301.2,301.2,1.0915,109.17
302.2,302.2,1.0909,109.11
303.2,303.2,1.0903,109.05
304.2,304.2,1.0896,108.98
305.2,305.2,1.089,108.92
306.2,306.2,1.0883,108.85
307.2,307.2,1.0876,108.78
308.21,308.21,1.0869,108.71
309.21,309.21,1.0862,108.64
310.21,310.21,1.0855,108.57
311.21,311.21,1.0848,108.5
312.21,312.21,1.0841,108.43
313.21,313.21,1.0834,108.36
314.21,314.21,1.0826,108.28
315.21,315.21,1.0819,108.21
316.21,316.21,1.0811,108.13
317.21,317.21,1.0804,108.06
318.21,318.21,1.0796,107.98
319.21,319.21,1.0788,107.9
320.21,320.21,1.0781,107.83
321.21,321.21,1.0773,107.75
322.21,322.21,1.0765,107.67
323.22,323.22,1.0757,107.59
324.22,324.22,1.0749,107.51
325.22,325.22,1.0741,107.43
326.22,326.22,1.0733,107.35
327.22,327.22,1.0725,107.27
328.22,328.22,1.0717,107.19
329.22,329.22,1.0709,107.11
330.22,330.22,1.0701,107.02
331.22,331.22,1.0692,106.94
332.22,332.22,1.0684,106.86
333.22,333.22,1.0676,106.78
334.22,334.22,1.0668,106.7
335.22,335.22,1.0659,106.61
336.22,336.22,1.0651,106.53
337.22,337.22,1.0643,106.45
338.23,338.23,1.0634,106.36
339.23,339.23,1.0626,106.28
340.23,340.23,1.0618,106.2
341.23,341.23,1.061,106.11
342.23,342.23,1.0601,106.03
343.23,343.23,1.0593,105.95
344.23,344.23,1.0585,105.87
345.23,345.23,1.0576,105.78
346.23,346.23,1.0568,105.7
347.23,347.23,1.056,105.62
348.23,348.23,1.0552,105.53
349.23,349.23,1.0543,105.45
350.23,350.23,1.0535,105.37
351.23,351.23,1.0527,105.29
352.23,352.23,1.0519,105.21
353.24,353.24,1.0511,105.12
354.24,354.24,1.0502,105.04
355.24,355.24,1.0494,104.96
356.24,356.24,1.0486,104.88
357.24,357.24,1.0478,104.8
358.24,358.24,1.047,104.72
359.24,359.24,1.0462,104.64
360.24,360.24,1.0454,104.56
361.24,361.24,1.0446,104.48
362.24,362.24,1.0439,104.4
363.24,363.24,1.0431,104.33
364.24,364.24,1.0423,104.25
365.24,365.24,1.0415,104.17
366.24,366.24,1.0408,104.09
367.24,367.24,1.04,104.02
368.25,368.25,1.0392,103.94
369.25,369.25,1.0385,103.87
370.25,370.25,1.0377,103.79
371.25,371.25,1.037,103.72
372.25,372.25,1.0362,103.64
373.25,373.25,1.0355,103.57
374.25,374.25,1.0348,103.49
375.25,375.25,1.034,103.42
376.25,376.25,1.0333,103.35
377.25,377.25,1.0326,103.28
378.25,378.25,1.0319,103.21
379.25,379.25,1.0312,103.14
380.25,380.25,1.0305,103.07
381.25,381.25,1.0298,103
382.25,382.25,1.0291,102.93
383.26,383.26,1.0284,102.86
384.26,384.26,1.0277,102.79
385.26,385.26,1.0271,102.73
386.26,386.26,1.0264,102.66
387.26,387.26,1.0257,102.59
388.26,388.26,1.0251,102.53
389.26,389.26,1.0245,102.46
390.26,390.26,1.0238,102.4
391.26,391.26,1.0232,102.34
392.26,392.26,1.0226,102.27
393.26,393.26,1.0219,102.21
394.26,394.26,1.0213,102.15
395.26,395.26,1.0207,102.09
396.26,396.26,1.0201,102.03
397.26,397.26,1.0195,101.97
398.27,398.27,1.0189,101.91
399.27,399.27,1.0184,101.85
400.27,400.27,1.0178,101.8
401.27,401.27,1.0172,101.74
402.27,402.27,1.0166,101.68
403.27,403.27,1.0161,101.63
404.27,404.27,1.0155,101.57
405.27,405.27,1.015,101.52
406.27,406.27,1.0145,101.46
407.27,407.27,1.0139,101.41
408.27,408.27,1.0134,101.36
409.27,409.27,1.0129,101.31
410.27,410.27,1.0124,101.26
411.27,411.27,1.0119,101.21
412.27,412.27,1.0114,101.16
413.28,413.28,1.0109,101.11
414.28,414.28,1.0104,101.06
415.28,415.28,1.01,101.01
416.28,416.28,1.0095,100.97
417.28,417.28,1.009,100.92
418.28,418.28,1.0086,100.88
419.28,419.28,1.0081,100.83
