tempo,referencia,temperatura
1258.9,100,104.92
1259.9,100,104.86
1260.9,100,104.81
1261.9,100,104.75
1262.9,100,104.69
1263.9,100,104.63
1264.9,100,104.58
1265.9,100,104.52
1266.9,100,104.47
1267.9,100,104.41
1268.9,100,104.36
1269.9,100,104.3
1270.9,100,104.25
1271.9,100,104.19
1272.9,100,104.14
1273.9,100,104.09
1274.9,100,104.04
1275.9,100,103.98
1276.9,100,103.93
1277.9,100,103.88
1278.9,100,103.83
1279.9,100,103.78
1280.9,100,103.73
1281.9,100,103.68
1282.9,100,103.63
1283.9,100,103.58
1284.9,100,103.54
1285.9,100,103.49
1286.9,100,103.44
1287.9,100,103.39
1288.9,100,103.35
1289.9,100,103.3
1290.9,100,103.26
1291.9,100,103.21
1292.9,100,103.17
1293.9,100,103.12
1294.9,100,103.08
1295.9,100,103.04
1296.9,100,102.99
1297.9,100,102.95
1298.9,100,102.91
1299.9,100,102.87
1300,100,102.87
1300.1,100,102.87
1300.1,100,102.86
1300.2,100,102.86
1300.2,100,102.86
1300.3,100,102.86
1300.8,100,102.83
1301.4,100,102.81
1302,100,102.79
1302.5,100,102.77
1303.1,100,102.74
1303.6,100,102.72
1304.6,100,102.68
1305.6,100,102.64
1306.6,100,102.61
1307.6,100,102.57
1308.6,100,102.53
1309.6,100,102.49
1310.6,100,102.46
1311.6,100,102.42
1312.6,100,102.39
1313.6,100,102.35
1314.6,100,102.32
1315.6,100,102.28
1316.6,100,102.25
1317.6,100,102.22
1318.6,100,102.18
1319.6,100,102.15
1320.6,100,102.12
1321.6,100,102.09
1322.6,100,102.05
1323.6,100,102.02
1324.6,100,101.99
1325.6,100,101.96
1326.6,100,101.93
1327.6,100,101.9
1328.6,100,101.87
1329.6,100,101.85
1330.6,100,101.82
1331.6,100,101.79
1332.6,100,101.76
1333.6,100,101.74
1334.6,100,101.71
1335.6,100,101.68
1336.6,100,101.66
1337.6,100,101.63
1338.6,100,101.6
1339.6,100,101.58
1340.6,100,101.56
1341.6,100,101.53
1342.6,100,101.51
1343.6,100,101.48
1344.6,100,101.46
1345.6,100,101.44
1346.6,100,101.41
