tempo,kirootlocus,kibode,kiatrasobode,kiatrasorootlocus
20,-0.00047969,-0.00054736,0,0
20.1,-0.00048386,-0.00055212,0,0
20.2,-0.00048805,-0.0005569,0,0
20.3,-0.00049224,-0.00056168,0,0
20.4,-0.00049644,-0.00056648,0,0
20.5,-0.00050065,-0.00057128,0,0
20.6,-0.00050487,-0.0005761,0,0
20.7,-0.0005091,-0.00058092,0,0
20.8,-0.00051334,-0.00058576,0,0
20.9,-0.00051758,-0.0005906,0,0
21,-0.00052183,-0.00059545,0,0
21.1,-0.00052609,-0.00060031,0,0
21.2,-0.00053036,-0.00060518,0,0
21.3,-0.00053464,-0.00061006,0,0
21.4,-0.00053892,-0.00061495,0,0
21.5,-0.00054321,-0.00061985,0,0
21.6,-0.00054751,-0.00062475,0,0
21.7,-0.00055182,-0.00062967,0,0
21.8,-0.00055613,-0.00063459,0,0
21.9,-0.00056045,-0.00063952,0,0
22,-0.00056478,-0.00064446,0,0
22.1,-0.00056912,-0.0006494,0,0
22.2,-0.00057346,-0.00065436,0,0
22.3,-0.00057781,-0.00065932,0,0
22.4,-0.00058216,-0.00066429,0,0
22.5,-0.00058652,-0.00066927,0,0
22.6,-0.00059089,-0.00067425,0,0
22.7,-0.00059526,-0.00067924,0,0
22.8,-0.00059964,-0.00068424,0,0
22.9,-0.00060403,-0.00068924,0,0
23,-0.00060842,-0.00069425,0,0
23.1,-0.00061282,-0.00069927,0,0
23.2,-0.00061722,-0.0007043,0,0
23.3,-0.00062163,-0.00070933,0,0
23.4,-0.00062605,-0.00071437,0,0
23.5,-0.00063047,-0.00071941,0,0
23.6,-0.00063489,-0.00072446,0,0
23.7,-0.00063932,-0.00072952,0,0
23.8,-0.00064376,-0.00073458,0,0
23.9,-0.0006482,-0.00073965,0,0
24,-0.00065264,-0.00074472,0,0
24.1,-0.0006571,-0.0007498,0,0
24.2,-0.00066155,-0.00075488,0,0
24.3,-0.00066601,-0.00075997,0,0
24.4,-0.00067047,-0.00076507,0,0
24.5,-0.00067494,-0.00077016,0,0
24.6,-0.00067942,-0.00077527,0,0
24.7,-0.00068389,-0.00078038,0,0
24.8,-0.00068837,-0.00078549,0,0
24.9,-0.00069286,-0.00079061,0,0
25,-0.00069735,-0.00079573,0,0
25.1,-0.00070184,-0.00080086,0,0
25.2,-0.00070634,-0.00080599,0,0
25.3,-0.00071084,-0.00081113,0,0
25.4,-0.00071534,-0.00081627,0,0
25.5,-0.00071985,-0.00082141,0,0
25.6,-0.00072436,-0.00082656,0,0
25.7,-0.00072887,-0.00083171,0,0
25.8,-0.00073339,-0.00083686,0,0
25.9,-0.00073791,-0.00084202,0,0
26,-0.00074243,-0.00084718,0,0
26.1,-0.00074696,-0.00085234,0,0
26.2,-0.00075149,-0.00085751,0,0
26.3,-0.00075602,-0.00086268,0,0
26.4,-0.00076055,-0.00086785,0,0
26.5,-0.00076509,-0.00087303,0,0
26.6,-0.00076962,-0.00087821,0,0
26.7,-0.00077417,-0.00088339,0,0
26.8,-0.00077871,-0.00088857,0,0
26.9,-0.00078325,-0.00089376,0,0
27,-0.0007878,-0.00089895,0,0
27.1,-0.00079235,-0.00090414,0,0
27.2,-0.0007969,-0.00090933,0,0
27.3,-0.00080145,-0.00091452,0,0
27.4,-0.000806,-0.00091972,0,0
27.5,-0.00081056,-0.00092491,0,0
27.6,-0.00081511,-0.00093011,0,0
27.7,-0.00081967,-0.00093531,0,0
27.8,-0.00082423,-0.00094051,0,0
27.9,-0.00082879,-0.00094572,0,0
28,-0.00083335,-0.00095092,0,0
28.1,-0.00083791,-0.00095613,0,0
28.2,-0.00084247,-0.00096133,0,0
28.3,-0.00084703,-0.00096654,0,0
28.4,-0.0008516,-0.00097175,0,0
28.5,-0.00085616,-0.00097695,0,0
28.6,-0.00086072,-0.00098216,0,0
28.7,-0.00086529,-0.00098737,0,0
28.8,-0.00086985,-0.00099258,0,0
28.9,-0.00087442,-0.00099779,0,0
29,-0.00087898,-0.001003,0,0
29.1,-0.00088355,-0.0010082,0,0
29.2,-0.00088811,-0.0010134,0,0
29.3,-0.00089268,-0.0010186,0,0
29.4,-0.00089724,-0.0010238,0,0
29.5,-0.00090181,-0.001029,0,0
29.6,-0.00090637,-0.0010343,0,0
29.7,-0.00091094,-0.0010395,0,0
29.8,-0.0009155,-0.0010447,0,0
29.9,-0.00092006,-0.0010499,0,0
30,-0.00092462,-0.0010551,0,0
30.1,-0.00092918,-0.0010603,0,0
30.2,-0.00093374,-0.0010655,0,0
30.3,-0.0009383,-0.0010707,0,0
30.4,-0.00094285,-0.0010759,0,0
30.5,-0.00094741,-0.0010811,0,0
30.6,-0.00095196,-0.0010863,0,0
30.7,-0.00095652,-0.0010915,0,0
30.8,-0.00096107,-0.0010967,0,0
30.9,-0.00096562,-0.0011019,0,0
31,-0.00097017,-0.0011071,0,0
31.1,-0.00097471,-0.0011122,0,0
31.2,-0.00097926,-0.0011174,0,0
31.3,-0.0009838,-0.0011226,0,0
31.4,-0.00098834,-0.0011278,0,0
31.5,-0.00099288,-0.001133,0,0
31.6,-0.00099741,-0.0011381,0,0
31.7,-0.0010019,-0.0011433,0,0
31.8,-0.0010065,-0.0011485,0,0
31.9,-0.001011,-0.0011537,0,0
32,-0.0010155,-0.0011588,0,0
32.1,-0.0010201,-0.001164,0,0
32.2,-0.0010246,-0.0011691,0,0
32.3,-0.0010291,-0.0011743,0,0
32.4,-0.0010336,-0.0011795,0,0
32.5,-0.0010381,-0.0011846,0,0
32.6,-0.0010426,-0.0011897,0,0
32.7,-0.0010471,-0.0011949,0,0
32.8,-0.0010516,-0.0012,0,0
32.9,-0.0010561,-0.0012052,0,0
33,-0.0010606,-0.0012103,0,0
33.1,-0.0010651,-0.0012154,0,0
33.2,-0.0010696,-0.0012205,0,0
33.3,-0.0010741,-0.0012257,0,0
33.4,-0.0010786,-0.0012308,0,0
33.5,-0.0010831,-0.0012359,0,0
33.6,-0.0010875,-0.001241,0,0
33.7,-0.001092,-0.0012461,0,0
33.8,-0.0010965,-0.0012512,0,0
33.9,-0.0011009,-0.0012563,0,0
34,-0.0011054,-0.0012614,0,0
34.1,-0.0011099,-0.0012665,0,0
34.2,-0.0011143,-0.0012715,0,0
34.3,-0.0011187,-0.0012766,0,0
34.4,-0.0011232,-0.0012817,0,0
34.5,-0.0011276,-0.0012867,0,0
34.6,-0.0011321,-0.0012918,0,0
34.7,-0.0011365,-0.0012968,0,0
34.8,-0.0011409,-0.0013019,0,0
34.9,-0.0011453,-0.0013069,0,0
35,-0.0011497,-0.001312,0,0
35.1,-0.0011541,-0.001317,0,0
35.2,-0.0011585,-0.001322,0,0
35.3,-0.0011629,-0.001327,0,0
35.4,-0.0011673,-0.001332,0,0
35.5,-0.0011717,-0.0013371,0,0
35.6,-0.0011761,-0.0013421,0,0
35.7,-0.0011805,-0.001347,0,0
35.8,-0.0011848,-0.001352,0,0
35.9,-0.0011892,-0.001357,0,0
36,-0.0011936,-0.001362,0,0
36.1,-0.0011979,-0.001367,0,0
36.2,-0.0012023,-0.0013719,0,0
36.3,-0.0012066,-0.0013769,0,0
36.4,-0.0012109,-0.0013818,0,0
36.5,-0.0012153,-0.0013868,0,0
36.6,-0.0012196,-0.0013917,0,0
36.7,-0.0012239,-0.0013966,0,0
36.8,-0.0012282,-0.0014015,0,0
36.9,-0.0012325,-0.0014064,0,0
37,-0.0012368,-0.0014113,0,0
37.1,-0.0012411,-0.0014162,0,0
37.2,-0.0012454,-0.0014211,0,0
37.3,-0.0012497,-0.001426,0,0
37.4,-0.0012539,-0.0014309,0,0
37.5,-0.0012582,-0.0014357,0,0
37.6,-0.0012625,-0.0014406,0,0
37.7,-0.0012667,-0.0014455,0,0
37.8,-0.0012709,-0.0014503,0,0
37.9,-0.0012752,-0.0014551,0,0
38,-0.0012794,-0.00146,0,0
38.1,-0.0012836,-0.0014648,0,0
38.2,-0.0012878,-0.0014696,0,0
38.3,-0.0012921,-0.0014744,0,0
38.4,-0.0012962,-0.0014792,0,0
38.5,-0.0013004,-0.001484,0,0
38.6,-0.0013046,-0.0014887,0,0
38.7,-0.0013088,-0.0014935,0,0
38.8,-0.001313,-0.0014983,0,0
38.9,-0.0013171,-0.001503,0,0
39,-0.0013213,-0.0015077,0,0
39.1,-0.0013254,-0.0015125,0,0
39.2,-0.0013296,-0.0015172,0,0
39.3,-0.0013337,-0.0015219,0,0
39.4,-0.0013378,-0.0015266,0,0
39.5,-0.0013419,-0.0015313,0,0
39.6,-0.001346,-0.001536,0,0
39.7,-0.0013501,-0.0015407,0,0
39.8,-0.0013542,-0.0015453,0,0
39.9,-0.0013583,-0.00155,0,0
40,-0.0013624,-0.0015546,0,0
40.1,-0.0013664,-0.0015592,0,0
40.2,-0.0013705,-0.0015639,0,0
40.3,-0.0013745,-0.0015685,0,0
40.4,-0.0013785,-0.0015731,0,0
40.5,-0.0013826,-0.0015777,0,0
40.6,-0.0013866,-0.0015823,0,0
40.7,-0.0013906,-0.0015868,0,0
40.8,-0.0013946,-0.0015914,0,0
40.9,-0.0013986,-0.001596,0,0
41,-0.0014026,-0.0016005,0,0
41.1,-0.0014065,-0.001605,0,0
41.2,-0.0014105,-0.0016096,0,0
41.3,-0.0014144,-0.0016141,0,0
41.4,-0.0014184,-0.0016186,0,0
41.5,-0.0014223,-0.001623,0,0
41.6,-0.0014262,-0.0016275,0,0
41.7,-0.0014302,-0.001632,0,0
41.8,-0.0014341,-0.0016364,0,0
41.9,-0.001438,-0.0016409,0,0
42,-0.0014418,-0.0016453,0,0
42.1,-0.0014457,-0.0016497,0,0
42.2,-0.0014496,-0.0016542,0,0
42.3,-0.0014534,-0.0016586,0,0
42.4,-0.0014573,-0.0016629,0,0
42.5,-0.0014611,-0.0016673,0,0
42.6,-0.0014649,-0.0016717,0,0
42.7,-0.0014687,-0.001676,0,0
42.8,-0.0014725,-0.0016804,0,0
42.9,-0.0014763,-0.0016847,0,0
43,-0.0014801,-0.001689,0,0
43.1,-0.0014839,-0.0016933,0,0
43.2,-0.0014876,-0.0016976,0,0
43.3,-0.0014914,-0.0017019,0,0
43.4,-0.0014951,-0.0017061,0,0
43.5,-0.0014989,-0.0017104,0,0
43.6,-0.0015026,-0.0017146,0,0
43.7,-0.0015063,-0.0017189,0,0
43.8,-0.00151,-0.0017231,0,0
43.9,-0.0015137,-0.0017273,0,0
44,-0.0015173,-0.0017315,0,0
44.1,-0.001521,-0.0017357,0,0
44.2,-0.0015246,-0.0017398,0,0
44.3,-0.0015283,-0.001744,0,0
44.4,-0.0015319,-0.0017481,0,0
44.5,-0.0015355,-0.0017522,0,0
44.6,-0.0015391,-0.0017564,0,0
44.7,-0.0015427,-0.0017605,0,0
44.8,-0.0015463,-0.0017645,0,0
44.9,-0.0015499,-0.0017686,0,0
45,-0.0015534,-0.0017727,0,0
45.1,-0.001557,-0.0017767,0,0
45.2,-0.0015605,-0.0017808,0,0
45.3,-0.001564,-0.0017848,0,0
45.4,-0.0015675,-0.0017888,0,0
45.5,-0.001571,-0.0017928,0,0
45.6,-0.0015745,-0.0017968,0,0
45.7,-0.001578,-0.0018007,0,0
45.8,-0.0015815,-0.0018047,0,0
45.9,-0.0015849,-0.0018086,0,0
46,-0.0015883,-0.0018125,0,0
46.1,-0.0015918,-0.0018164,0,0
46.2,-0.0015952,-0.0018203,0,0
