tempo,rootlocuspade
6.6688,-0.052935
6.6788,-0.053003
6.6888,-0.053071
6.6988,-0.053139
6.7088,-0.053207
6.7188,-0.053275
6.7288,-0.053343
6.7388,-0.053411
6.7488,-0.053479
6.7588,-0.053547
6.7688,-0.053615
6.7788,-0.053683
6.7888,-0.053751
6.7988,-0.053819
6.8088,-0.053886
6.8188,-0.053954
6.8288,-0.054022
6.8388,-0.054089
6.8488,-0.054157
6.8588,-0.054224
6.8688,-0.054292
6.8788,-0.05436
6.8888,-0.054427
6.8988,-0.054494
6.9088,-0.054562
6.9188,-0.054629
6.9288,-0.054697
6.9388,-0.054764
6.9488,-0.054831
6.9588,-0.054899
6.9688,-0.054966
6.9788,-0.055033
6.9888,-0.0551
6.9988,-0.055167
7.0088,-0.055234
7.0188,-0.055301
7.0288,-0.055368
7.0388,-0.055435
7.0488,-0.055502
7.0588,-0.055569
7.0688,-0.055636
7.0788,-0.055703
7.0888,-0.05577
7.0988,-0.055837
7.1088,-0.055903
7.1188,-0.05597
7.1288,-0.056037
7.1388,-0.056104
7.1488,-0.05617
7.1588,-0.056237
7.1688,-0.056303
7.1788,-0.05637
7.1888,-0.056436
7.1988,-0.056503
7.2088,-0.056569
7.2188,-0.056636
7.2288,-0.056702
7.2388,-0.056768
7.2488,-0.056835
7.2588,-0.056901
7.2688,-0.056967
7.2788,-0.057033
7.2888,-0.0571
7.2988,-0.057166
7.3088,-0.057232
7.3188,-0.057298
7.3288,-0.057364
7.3388,-0.05743
7.3488,-0.057496
7.3588,-0.057562
7.3688,-0.057628
7.3788,-0.057694
7.3888,-0.05776
7.3988,-0.057825
7.4088,-0.057891
7.4188,-0.057957
7.4288,-0.058023
7.4388,-0.058088
7.4488,-0.058154
7.4588,-0.05822
7.4688,-0.058285
7.4788,-0.058351
7.4888,-0.058416
7.4988,-0.058482
7.5088,-0.058547
7.5188,-0.058613
7.5288,-0.058678
7.5388,-0.058743
7.5488,-0.058809
7.5588,-0.058874
7.5688,-0.058939
7.5788,-0.059005
7.5888,-0.05907
7.5988,-0.059135
7.6088,-0.0592
7.6188,-0.059265
7.6288,-0.05933
7.6388,-0.059395
7.6488,-0.05946
7.6588,-0.059525
