-0.074022-0.19602i,-0.074022+0.19602i,-0.11634-0.14821i,-0.11634+0.14821i,-0.14208-0.1044i,-0.14208+0.1044i,-0.15751-0.06218i,-0.15751+0.06218i,-0.16481-0.020659i,-0.16481+0.020659i,-0.0022573
-0.020341-0.25582i,-0.020341+0.25582i,-0.0073063-0.16805i,-0.0073063+0.16805i,-0.15499-0.47748i,-0.15499+0.47748i,-0.00027236-0.093752i,-0.00027236+0.093752i,0.013396-0.025297i,-1.0644,0.013396+0.025297i
-0.010264-0.25798i,-0.010264+0.25798i,-0.0010282-0.16852i,-0.0010282+0.16852i,-0.12072-0.50914i,-0.12072+0.50914i,0.0058262-0.094515i,0.0058262+0.094515i,0.018215-0.026525i,-1.2506,0.018215+0.026525i
0.00015721-0.25926i,0.00015721+0.25926i,0.0052445-0.16896i,0.0052445+0.16896i,-0.077994-0.53702i,-0.077994+0.53702i,0.011883-0.095254i,0.011883+0.095254i,0.023122-0.02756i,-1.4979,0.023122+0.02756i
0.0061368-0.25956i,0.0061368+0.25956i,0.0087785-0.16918i,0.0087785+0.16918i,-0.050101-0.55007i,-0.050101+0.55007i,0.015287-0.095659i,0.015287+0.095659i,0.025929-0.028074i,-1.6751,0.025929+0.028074i
0.010768-0.25958i,0.010768+0.25958i,0.011496-0.16935i,0.011496+0.16935i,-0.026848-0.55834i,-0.026848+0.55834i,0.017903-0.095965i,0.017903+0.095965i,0.02811-0.02844i,-1.8358,0.02811+0.02844i
0.021396-0.25891i,0.021396+0.25891i,0.017708-0.16969i,0.017708+0.16969i,0.031559-0.56988i,0.031559+0.56988i,0.023891-0.096645i,0.023891+0.096645i,0.033174-0.029195i,-2.3121,0.033174+0.029195i
0.027339-0.25808i,0.027339+0.25808i,0.021194-0.16987i,0.021194+0.16987i,0.066813-0.57089i,0.066813+0.57089i,0.027261-0.097016i,0.027261+0.097016i,0.036065-0.029575i,-2.6704,0.036065+0.029575i
0.031863-0.25722i,0.031863+0.25722i,0.023866-0.17001i,0.023866+0.17001i,0.094557-0.56856i,0.094557+0.56856i,0.029853-0.097295i,0.029853+0.097295i,0.038307-0.029848i,-3.0064,0.038307+0.029848i
0.041984-0.25452i,0.041984+0.25452i,0.029956-0.1703i,0.029956+0.1703i,0.15784-0.55228i,0.15784+0.55228i,0.035792-0.097912i,0.035792+0.097912i,0.043506-0.030416i,-4.0536,0.043506+0.030416i
0.047478-0.25257i,0.047478+0.25257i,0.03336-0.17047i,0.03336+0.17047i,0.19168-0.53634i,0.19168+0.53634i,0.039137-0.098247i,0.039137+0.098247i,0.046468-0.030706i,-4.8827,0.046468+0.030706i
0.051578-0.25086i,0.051578+0.25086i,0.035966-0.1706i,0.035966+0.1706i,0.21602-0.52098i,0.21602+0.52098i,0.041712-0.098498i,0.041712+0.098498i,0.048763-0.030915i,-5.6855,0.048763+0.030915i
0.056698-0.24839i,0.056698+0.24839i,0.039322-0.17079i,0.039322+0.17079i,0.24459-0.49755i,0.24459+0.49755i,0.045049-0.098815i,0.045049+0.098815i,0.051757-0.031169i,-7.0066,0.051757+0.031169i
0.060473-0.24629i,0.060473+0.24629i,0.04189-0.17094i,0.04189+0.17094i,0.26388-0.47729i,0.26388+0.47729i,0.047618-0.099053i,0.047618+0.099053i,0.054075-0.031354i,-8.3019,0.054075+0.031354i
0.068509-0.24089i,0.068509+0.24089i,0.047734-0.17135i,0.047734+0.17135i,0.29808-0.42606i,0.29808+0.42606i,0.053512-0.099577i,0.053512+0.099577i,0.059437-0.031743i,-12.589,0.059437+0.031743i
0.075539-0.23475i,0.075539+0.23475i,0.053513-0.17191i,0.053513+0.17191i,0.31806-0.37286i,0.31806+0.37286i,0.059397-0.10007i,0.059397+0.10007i,0.064845-0.03209i,-19.714,0.064845+0.03209i
0.081423-0.22795i,0.081423+0.22795i,0.059266-0.17267i,0.059266+0.17267i,0.3257-0.32225i,0.3257+0.32225i,0.065275-0.10054i,0.065275+0.10054i,0.070294-0.0324i,-31.658,0.070294+0.0324i
0.086008-0.22053i,0.086008+0.22053i,0.065079-0.17377i,0.065079+0.17377i,0.32411-0.27695i,0.32411+0.27695i,0.07115-0.10098i,0.07115+0.10098i,0.075783-0.032679i,-51.762,0.075783+0.032679i
0.089064-0.21243i,0.089064+0.21243i,0.071142-0.17542i,0.071142+0.17542i,0.31637-0.23795i,0.31637+0.23795i,0.077022-0.1014i,0.077022+0.1014i,0.081307-0.032931i,-85.664,0.081307+0.032931i
